epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,606.101,0.27513,0.19337,0.78252,0.99953,0.99974,0.995,0.90264,0.39942,0.20084,0.9918,0.000486639,0.000486639,0.000486639
44,619.858,0.27872,0.19348,0.78299,0.99945,0.99983,0.995,0.90675,0.36024,0.18227,0.97812,0.000478392,0.000478392,0.000478392
45,632.797,0.2938,0.19914,0.78551,0.99912,0.99969,0.995,0.90165,0.37659,0.19258,0.98044,0.000470145,0.000470145,0.000470145
46,643.927,0.27283,0.19213,0.78252,0.99913,0.99981,0.995,0.90064,0.37085,0.18784,1.0009,0.000461898,0.000461898,0.000461898
47,656.598,0.26686,0.18862,0.78401,0.99878,0.99974,0.995,0.91226,0.36028,0.18147,0.98977,0.000453652,0.000453652,0.000453652
48,669.06,0.26673,0.18769,0.78357,0.99957,0.99961,0.995,0.90686,0.38206,0.18793,0.97814,0.000445405,0.000445405,0.000445405
49,683.992,0.26776,0.18922,0.78323,0.99977,0.99984,0.995,0.9043,0.36611,0.18444,1.00071,0.000437158,0.000437158,0.000437158
50,696.99,0.26182,0.18477,0.78214,0.99948,0.99975,0.995,0.90738,0.35684,0.18007,1.00103,0.000428912,0.000428912,0.000428912
51,708.319,0.26349,0.18485,0.78321,0.99953,0.99974,0.995,0.91171,0.36369,0.18184,1.01149,0.000420665,0.000420665,0.000420665
52,720.174,0.25577,0.18211,0.78153,0.99941,0.99985,0.995,0.90806,0.35628,0.18053,0.99507,0.000412418,0.000412418,0.000412418
53,733.268,0.25444,0.18069,0.7795,0.99949,0.99978,0.995,0.9085,0.35896,0.18065,0.99705,0.000404172,0.000404172,0.000404172
54,747.439,0.25327,0.17831,0.78125,0.99939,0.99985,0.995,0.90606,0.34975,0.18063,0.99519,0.000395925,0.000395925,0.000395925
55,760.927,0.25103,0.17927,0.78221,0.99962,0.99979,0.995,0.9121,0.35536,0.17944,1.00171,0.000387678,0.000387678,0.000387678
56,773.296,0.2513,0.17602,0.78448,0.99934,0.9998,0.995,0.90496,0.35182,0.17758,0.99705,0.000379431,0.000379431,0.000379431
57,786.644,0.24971,0.17556,0.77975,0.99946,0.9998,0.995,0.91223,0.34723,0.17616,0.99838,0.000371185,0.000371185,0.000371185
58,799.989,0.25335,0.17902,0.78013,0.99957,0.99987,0.995,0.90951,0.36014,0.17783,0.98828,0.000362938,0.000362938,0.000362938
59,812.49,0.24791,0.17616,0.78148,0.9996,0.99978,0.995,0.90978,0.35047,0.1751,0.98274,0.000354691,0.000354691,0.000354691
60,825.075,0.24013,0.17289,0.78008,0.99949,0.99984,0.995,0.90934,0.3565,0.17935,0.99691,0.000346445,0.000346445,0.000346445
61,837.591,0.2432,0.17209,0.78074,0.99956,0.99987,0.995,0.90538,0.3702,0.18278,0.99445,0.000338198,0.000338198,0.000338198
62,851.633,0.24222,0.17185,0.7799,0.99947,0.99993,0.995,0.90947,0.35525,0.17995,0.99954,0.000329951,0.000329951,0.000329951
63,864.126,0.24302,0.17271,0.78226,0.99948,0.9998,0.995,0.90772,0.34568,0.17621,1.00705,0.000321705,0.000321705,0.000321705
64,877.324,0.23577,0.16858,0.77997,0.99955,0.99992,0.995,0.90847,0.35743,0.176,1.02083,0.000313458,0.000313458,0.000313458
65,889.41,0.23858,0.1691,0.7813,0.99974,0.99988,0.995,0.91294,0.34194,0.17094,1.01408,0.000305211,0.000305211,0.000305211
66,902.704,0.23685,0.16778,0.78205,0.99941,0.99988,0.995,0.91471,0.34743,0.17338,1.00507,0.000296964,0.000296964,0.000296964
67,915.6,0.23793,0.16986,0.77857,0.99963,0.99987,0.995,0.91307,0.34241,0.17162,1.00183,0.000288718,0.000288718,0.000288718
68,928.824,0.23151,0.16442,0.77801,0.99923,0.99989,0.995,0.91435,0.342,0.16496,0.9922,0.000280471,0.000280471,0.000280471
69,941.485,0.23086,0.16369,0.77948,0.99951,0.99995,0.995,0.91552,0.33433,0.17054,1.00003,0.000272224,0.000272224,0.000272224
70,954.414,0.22782,0.1619,0.77919,0.9989,0.9996,0.995,0.90742,0.3441,0.17053,1.00167,0.000263978,0.000263978,0.000263978
71,966.994,0.22606,0.16169,0.77895,0.9992,0.99995,0.995,0.90188,0.3445,0.17196,1.00717,0.000255731,0.000255731,0.000255731
72,978.369,0.22496,0.16095,0.78003,0.99935,0.9999,0.995,0.91662,0.33974,0.16866,1.00615,0.000247484,0.000247484,0.000247484
73,991.25,0.22513,0.16027,0.77766,0.99963,0.99994,0.995,0.91747,0.33509,0.169,0.99046,0.000239238,0.000239238,0.000239238
74,1004.28,0.22556,0.16087,0.78002,0.99959,0.99991,0.995,0.9167,0.33488,0.16603,1.00422,0.000230991,0.000230991,0.000230991
75,1017.74,0.21935,0.15775,0.77865,0.99958,0.99995,0.995,0.9173,0.33788,0.16546,1.00045,0.000222744,0.000222744,0.000222744
76,1029.61,0.22001,0.15693,0.77859,0.99943,0.99995,0.995,0.91774,0.32942,0.16308,1.00231,0.000214497,0.000214497,0.000214497
77,1043.3,0.22343,0.15842,0.77794,0.99959,0.99991,0.995,0.9118,0.33501,0.16743,1.01201,0.000206251,0.000206251,0.000206251
78,1056.03,0.21762,0.15694,0.77732,0.99954,0.99995,0.995,0.91111,0.34027,0.16903,1.00558,0.000198004,0.000198004,0.000198004
79,1069.7,0.21901,0.1569,0.77947,0.99949,0.99989,0.995,0.90768,0.33846,0.16571,1.0041,0.000189757,0.000189757,0.000189757
80,1082.84,0.21827,0.15484,0.77756,0.99948,0.99995,0.995,0.91114,0.33641,0.16623,1.01264,0.000181511,0.000181511,0.000181511
81,1095.73,0.21265,0.15162,0.77593,0.99946,0.99995,0.995,0.9155,0.3244,0.16098,1.00928,0.000173264,0.000173264,0.000173264
82,1108.07,0.21405,0.15281,0.77802,0.99959,0.99995,0.995,0.91452,0.32975,0.16407,1.00571,0.000165017,0.000165017,0.000165017
83,1121.02,0.20783,0.14942,0.7785,0.99936,0.99995,0.995,0.91267,0.32857,0.16309,1.00878,0.000156771,0.000156771,0.000156771
84,1133.72,0.21085,0.15033,0.77927,0.99956,0.99995,0.995,0.91689,0.3224,0.16054,1.01262,0.000148524,0.000148524,0.000148524
85,1146.22,0.20547,0.14779,0.77691,0.99955,0.99995,0.995,0.91097,0.32862,0.1632,0.9994,0.000140277,0.000140277,0.000140277
86,1159.02,0.20931,0.14877,0.77752,0.99962,0.99993,0.995,0.91826,0.32571,0.16141,1.00059,0.000132031,0.000132031,0.000132031
87,1171.52,0.20386,0.14591,0.77576,0.99964,0.99995,0.995,0.91705,0.32418,0.16184,1.002,0.000123784,0.000123784,0.000123784
88,1185,0.20522,0.14724,0.77599,0.99957,0.99984,0.995,0.91945,0.31975,0.15795,1.00548,0.000115537,0.000115537,0.000115537
89,1195.73,0.20553,0.1471,0.77724,0.99947,0.99991,0.995,0.92298,0.32173,0.15759,1.00193,0.00010729,0.00010729,0.00010729
90,1207.71,0.20245,0.14516,0.7773,0.99956,0.99993,0.995,0.91833,0.32692,0.16396,1.00363,9.90437e-05,9.90437e-05,9.90437e-05
91,1229.35,0.17984,0.1316,0.76347,0.99932,0.99988,0.995,0.91752,0.33555,0.16866,1.02856,9.0797e-05,9.0797e-05,9.0797e-05
92,1245.24,0.1706,0.12583,0.7641,0.99892,0.99981,0.995,0.91602,0.33394,0.167,1.02369,8.25503e-05,8.25503e-05,8.25503e-05
93,1261.49,0.16658,0.12345,0.76434,0.99916,0.99988,0.995,0.91677,0.33108,0.16498,1.02743,7.43036e-05,7.43036e-05,7.43036e-05
94,1274.49,0.1655,0.12254,0.76539,0.99927,0.99987,0.995,0.91759,0.3283,0.16241,1.01583,6.60569e-05,6.60569e-05,6.60569e-05
95,1286.44,0.16159,0.1193,0.76753,0.99954,0.99991,0.995,0.91475,0.33419,0.16603,1.007,5.78102e-05,5.78102e-05,5.78102e-05
96,1297.91,0.15932,0.11847,0.76379,0.99948,0.9999,0.995,0.91286,0.3377,0.16763,1.00052,4.95635e-05,4.95635e-05,4.95635e-05
97,1312.4,0.15662,0.11656,0.76639,0.99954,0.9999,0.995,0.915,0.32677,0.16412,0.99903,4.13168e-05,4.13168e-05,4.13168e-05
98,1323.87,0.15712,0.11607,0.76614,0.99947,0.9999,0.995,0.91302,0.32876,0.16422,0.99953,3.30701e-05,3.30701e-05,3.30701e-05
99,1334.45,0.15286,0.114,0.76329,0.99963,0.99992,0.995,0.91887,0.32449,0.16255,0.99964,2.48234e-05,2.48234e-05,2.48234e-05
100,1349.35,0.15123,0.11264,0.76589,0.99965,0.99994,0.995,0.91539,0.32436,0.16334,1.00032,1.65767e-05,1.65767e-05,1.65767e-05
